username;date;retweets;text;hashtags;id;
cyguy83;6/9/2016 21:37;2;Northern Corn Leaf Blight is prevalent in the area. A fungicide applied now will pay big benefits! @FarmNutrients pic.twitter.com/DTpTcqeyYX;;7.40991E+17;
skporter;6/24/2016 12:47;1;This is the closest that I can find to Northern #corn leaf blight . Too dry? Will see North after rain. pic.twitter.com/AEFJ25jHHB;#corn;7.46294E+17;
AqleemAbbas;5/25/2016 1:59;0;#Septoria leaf blight of celery Septoria apiicola #SYMPTOMS Irregularly shaped chlorotic spots on leaves and... http:// fb.me/LHtPnekA;#Septoria #SYMPTOMS;7.35259E+17;
jj_pyle;6/17/2016 21:47;19;Norther Corn Leaf Blight in Kellogg, IA. Jasper County. #basftweets #planthealth16 pic.twitter.com/PeQ5mkFemR;#basftweets #planthealth16;7.43893E+17;
WisCropMan;3/11/2016 19:18;1;Goss’s wilt, northern #corn leaf blight , timing & chances of recovering fungicide cost https://www. youtube.com/watch?v=jFsb6n Q_0tI …;#corn;7.08356E+17;
VNBreakingNews;6/12/2016 1:30;0;Bayer offers Vietnamese farmers a revolutionary solution against Bacterial Leaf Blight disease at http://www. vietnambreakingnews.com/2016/06/bayer- offers-vietnamese-farmers-a-revolutionary-solution-against-bacterial-leaf-blight-disease/ …;;7.41775E+17;
SDSUPlantPath;4/19/2016 17:34;1;Seeing some bacterial leaf blight on winter #wheat in SD. pic.twitter.com/40wkBO3SkF;#wheat;7.22448E+17;
ArquivosIB;4/9/2016 3:01;1;#Occurrence of South American leaf blight epidemic in escape zones of the Brazil. http:// ow.ly/105Gz7 #leafblight #escapezone @unespfca;#Occurrence #leafblight #escapezone;7.18605E+17;
HighWindJa;4/24/2016 20:16;0;Backyard Jungle Book: Pear tree with leaf blight in flower pic.twitter.com/rKUQkcPHiV;;7.24301E+17;
ISUCropNews;6/15/2016 19:35;5;"Northern corn leaf blight was discovered in a field in Washington County last weekend"" Read more: http:// ow.ly/Iko0301hVzk #NCLB""";#NCLB;7.43135E+17;
PatriciaMiln;3/12/2016 21:53;0;6 myths just about leaf blight that subconscious self experience versus separate: LrF;;7.08758E+17;
realagriculture;3/9/2016 23:45;2;New tool for fighting northern corn leaf blight — Syngenta is releasing this 3-modes-in-one, long-lasting fungicide: http:// bit.ly/1OYWo76;;7.07699E+17;
ProMED_mail;4/5/2016 15:20;1;PRO/PL> Bacterial leaf blight , rice - Peru: (PI) http:// bit.ly/237YqPL;;7.17341E+17;
plantdisease;6/10/2016 16:41;17;Coconut trees hit by leaf blight disease http://www. thehindu.com/news/national/ tamil-nadu/coconut-trees-hit-by-leaf-blight-disease/article8695857.ece …;;7.41279E+17;
bdsmaize;5/23/2016 17:09;0;Resistant hybrids, residue management & #fungicides can fight northern #corn leaf blight http:// bit.ly/1U77mKJ;#fungicides #corn;7.34763E+17;
phy_papers;5/19/2016 2:37;0;Cercospora cf. flagellaris and C. cf. sigesbeckiae are associated with Cercospora leaf blight and purple seed stain… http:// dlvr.it/LLX0Rf;;7.33094E+17;
AdvCropCare;6/21/2016 16:32;1;My first evidence of Northern Corn Leaf Blight in Northern IL. C/C with history. #plant16 #corn pic.twitter.com/JnIrIgKf5j;#plant16 #corn;7.45263E+17;
panaridus;5/12/2016 19:33;0;South American leaf blight a biological weapon? http://www. ncbi.nlm.nih.gov/pmc/articles/P MC2759241/ …;;7.30813E+17;
hiasilrdne;3/2/2016 10:50;0;#EurekaMag Efficacy of plant extracts in controlling leaf blight (Bipolaris sorokiniana) with increasing yield of… http:// dlvr.it/Kg4HWh;#EurekaMag;7.04967E+17;
baldpathologist;5/24/2016 21:21;6;Planting the @UnitedSoy Cercospora leaf blight trial in Verona, MS @MSUExtService @ppp_trey #mscrops @MSSOY pic.twitter.com/TM2Qcquw04;#mscrops;7.35189E+17;
TimbaNinja;6/16/2016 16:29;2;Despite the hot/dry conditions, Northern Leaf Blight is here. Do you have a plan to manage diseases this year? pic.twitter.com/OAqnAe2l2D;;7.43451E+17;
PublicHealthBot;4/5/2016 15:20;0;PRO/PL> Bacterial leaf blight , rice - Peru: (PI) http:// ift.tt/237YnU5;;7.17341E+17;
jmkolkman;6/28/2016 7:14;0;Inoculating G2F hybrid trial with Northern Leaf Blight . The season begins! http://www. genomes2fields.org / #TheCornInCornell pic.twitter.com/O9r2fHjUEr;#TheCornInCornell;7.47659E+17;
garden_answers;3/2/2016 0:15;0;New blog post from http:// GardenAnswers.com about Pachysandra Leaf Blight - http://www. gardenanswers.com/plant-diseases /pachysandra-leaf-blight/ … pic.twitter.com/4KMlQkDESx;;7.04807E+17;
tjcksn;6/15/2016 19:41;23;Northern Corn Leaf Blight confirmed n SE Iowa, so start watching 4 this disease in central & eastern Nebraska, too. https:// twitter.com/ISUCropNews/st atus/743134769379151872 …;;7.43136E+17;
Agronomy_Guy;6/16/2016 18:34;1;Northern corn leaf blight showing up already. Keep an eye on susceptible hybrids especially silage. https:// twitter.com/damon_lee_smit h/status/743479133649375232 …;;7.43482E+17;
LoveOfFarming;6/21/2016 19:37;5;Field Agronomist posted: V12 early planted corn on corn field near Columbus IN has Northern Corn Leaf Blight in the lower canopy. #NCLB;#NCLB;7.4531E+17;
EurekaMag;3/7/2016 5:58;8;#EurekaMag Effects of nitrogen nutrition and bacterial leaf blight on rice leaves http:// dlvr.it/KjPPxC;#EurekaMag;7.06705E+17;
EllenGoddard1;6/12/2016 10:48;1;Coconut trees hit by leaf blight disease http:// m.thehindu.com/news/national/ tamil-nadu/coconut-trees-hit-by-leaf-blight-disease/article8695857.ecel …;;7.41915E+17;
garden_answers;3/29/2016 21:15;0;New blog post from http:// GardenAnswers.com about Leaf Blight - http://www. gardenanswers.com/plant-diseases /leaf-blight/ … pic.twitter.com/l0GB2eNETf;;7.14894E+17;
agri_quiz;4/20/2016 19:10;1;Leaf blight disease of rice is due to bacteria #Imp Question;#Imp;7.22835E+17;
wadeoehmichen;6/21/2016 22:12;2;Northern Corn Leaf Blight in Wisconsin! Spore ID confirmed in Jackson, Juneau and Dane counties #planthealth16 pic.twitter.com/vzHeg25TGw;#planthealth16;7.45349E+17;
BobWrightUNL;3/28/2016 20:32;0;"@UNL_CropWatch Goss’s Bacterial Wilt & Leaf Blight of Corn; open access webinar by @tjcksn http://www. plantmanagementnetwork.org/edcenter/semin ars/corn/GossWilt/ … pic.twitter.com/GOJVu2p0PJ";;7.1452E+17;
DonnersDirt;6/21/2016 20:57;5;Northern Corn Leaf Blight (NCLB) and Gray Leaf Spot (GLS) in Southwest Indiana. 10oz #HeadlineAMP at Tassel #BASF pic.twitter.com/1o36ZbrWdi;#HeadlineAMP #BASF;7.4533E+17;
2blades;6/24/2016 1:14;1;Coconut trees hit by leaf blight disease - The Hindu http://www. thehindu.com/news/national/ tamil-nadu/article8695857.ece …;;7.46119E+17;
eewoldt;6/17/2016 1:45;0;Another sign of the early stages Northern Corn Leaf blight showing up in Central IA. Photo credit @joblowschmidty pic.twitter.com/QVdXmkWVAV;;7.4359E+17;
SecuritySeed;6/29/2016 16:26;5;Northern Corn Leaf Blight & Grey Leaf Spot are present on #corn at the #wku farm in Bowling Green, KY. pic.twitter.com/8B5gDiQQ1V;#corn #wku;7.48161E+17;
rkvittetoe;6/13/2016 17:40;22;Seeing Northern Corn Leaf Blight . Warm, dry weather should slow it down! @alisonrISU @corndisease #iscucrops pic.twitter.com/clCs9MPXZr;#iscucrops;7.42381E+17;
EPILIBERTAS;4/5/2016 19:00;0;PRO/PL> Bacterial leaf blight , rice - Peru: (PI): Other Plant Disease -- PeruThe National Agricultural Health ... http:// bit.ly/237YqPL;;7.17396E+17;
imholtea;6/16/2016 23:41;14;Northern corn leaf blight beginning to show up in S. WI. @PioneerWI PioneerWI #Scout16 #NCLB pic.twitter.com/j908yQXiuw;#Scout16 #NCLB;7.43559E+17;
MailsTera;6/12/2016 15:44;0;Leaf Blight #games #play #online #play #fun You have a limited number of moves to solve each leafy puzzle. Click... http://www. teragames.net/leaf-blight/;#games #play #online #play #fun;7.4199E+17;
UIUCSmallGrains;5/20/2016 1:53;6;Scoring the #wheat for rust and leaf blight in Brownstown, IL pic.twitter.com/FnovXlHaoe;#wheat;7.33446E+17;
AdamOwens_11;5/10/2016 20:22;3;Northern Corn Leaf Blight is showing up along the Lower Gulf Coast of TX. Keep a watchful eye on your fields. #NCLB . pic.twitter.com/4Aod8tv0I9;#NCLB;7.30101E+17;
GwenfarsGarden;3/3/2016 11:15;2;. @Plantfairs Am reading newsletter & interested to see the note about @NortonPriory using garlic spray on Quince for leaf blight . Useful tip;;7.05336E+17;
Invasion_Watch;6/25/2016 4:44;0;Invasion! Southern corn leaf blight and stalk rot in Grady County, Georgia: http:// bit.ly/296ZGtz #invasivespecies;#invasivespecies;7.46534E+17;
