username;date;retweets;text;hashtags;id;Agreetweet Y/N;Category
wadeoehmichen;6/21/2016 22:29;3;Northern corn leaf blight is off to an early start in Wisconsin. Time for priaxor app! #planthealth16 #savemepriaxor pic.twitter.com/kb7wIknUrU;#planthealth16 #savemepriaxor;7.45E+17;Y;news
Invasion_Watch;6/25/2016 4:44;0;Invasion! northern corn leaf blight in Grady County, Georgia: http:// bit.ly/28Xbwbu #invasivespecies;#invasivespecies;7.47E+17;Y;news
Invasion_Watch;6/1/2016 21:23;0;Invasion! northern corn leaf blight in Terrell County, Georgia: http:// bit.ly/283LjPA #invasivespecies;#invasivespecies;7.38E+17;Y;news
CGSpaceResearch;4/14/2016 12:14;0;Heterosis and combining ability of elite maize inbred lines under northern corn leaf blight disease p #IITA #CGIAR http:// hdl.handle.net/10568/72896;#IITA #CGIAR;7.21E+17;Y;awareness
panaridus;3/24/2016 18:18;0;"South American leaf blight reaching Southeast Asia could bring the automobile age to a screeching halt."" - http:// bit.ly/1SjCW9Z""";;7.13E+17;Y;awareness
BigShowFarm;6/17/2016 16:30;4;Today's show: #crop16 w/ @LandusCoop @ToddClaussen on @whoradio & @600WMTAM | Northern leaf blight (Guthrie Co.) pic.twitter.com/udwm51ZSXZ;#crop16;7.44E+17;Y;Ad
hiasilrdne;3/7/2016 6:06;0;#EurekaMag Effects of nitrogen nutrition and bacterial leaf blight on rice leaves http:// dlvr.it/KjPXXL;#EurekaMag;7.07E+17;Y;awareness
Bayer4CropsUS;6/23/2016 20:38;9;What to do if southern corn leaf blight strikes: http:// bit.ly/1LD3MVF #cropprotection #cropscouting pic.twitter.com/zkjN26xSGQ;#cropprotection #cropscouting;7.46E+17;Y;awareness
Scien_net;4/19/2016 19:45;0;#Scien The causal organism of sugarcane leaf blight http:// bit.ly/23XeH79;#Scien;7.22E+17;n;
muffagservices;6/29/2016 21:07;0;Northern Corn leaf blight approaching thresholds in N Iowa 50% showing signs in some areas Prepare to spay Quilt XL! pic.twitter.com/MDcf9Komhy;;7.48E+17;Y;news
EurekaMag;5/14/2016 6:22;0;#EurekaMag Bacterial antagonist as seed treatment to control leaf blight disease of bambara groundnut (Vigna… http:// dlvr.it/LJWyVz;#EurekaMag;7.31E+17;Y;awareness
cyguy83;6/9/2016 21:37;2;Northern Corn Leaf Blight is prevalent in the area. A fungicide applied now will pay big benefits! @FarmNutrients pic.twitter.com/DTpTcqeyYX;;7.41E+17;Y;news
skporter;6/24/2016 12:47;1;This is the closest that I can find to Northern #corn leaf blight . Too dry? Will see North after rain. pic.twitter.com/AEFJ25jHHB;#corn;7.46E+17;Y;Self
AqleemAbbas;5/25/2016 1:59;0;#Septoria leaf blight of celery Septoria apiicola #SYMPTOMS Irregularly shaped chlorotic spots on leaves and... http:// fb.me/LHtPnekA;#Septoria #SYMPTOMS;7.35E+17;Y;awareness
jj_pyle;6/17/2016 21:47;19;Norther Corn Leaf Blight in Kellogg, IA. Jasper County. #basftweets #planthealth16 pic.twitter.com/PeQ5mkFemR;#basftweets #planthealth16;7.44E+17;Y;news
WisCropMan;3/11/2016 19:18;1;Goss’s wilt, northern #corn leaf blight , timing & chances of recovering fungicide cost https://www. youtube.com/watch?v=jFsb6n Q_0tI …;#corn;7.08E+17;Y;awareness
VNBreakingNews;6/12/2016 1:30;0;Bayer offers Vietnamese farmers a revolutionary solution against Bacterial Leaf Blight disease at http://www. vietnambreakingnews.com/2016/06/bayer- offers-vietnamese-farmers-a-revolutionary-solution-against-bacterial-leaf-blight-disease/ …;;7.42E+17;Y;Ad
SDSUPlantPath;4/19/2016 17:34;1;Seeing some bacterial leaf blight on winter #wheat in SD. pic.twitter.com/40wkBO3SkF;#wheat;7.22E+17;Y;self
ArquivosIB;4/9/2016 3:01;1;#Occurrence of South American leaf blight epidemic in escape zones of the Brazil. http:// ow.ly/105Gz7 #leafblight #escapezone @unespfca;#Occurrence #leafblight #escapezone;7.19E+17;Y;news
HighWindJa;4/24/2016 20:16;0;Backyard Jungle Book: Pear tree with leaf blight in flower pic.twitter.com/rKUQkcPHiV;;7.24E+17;Y;self
ISUCropNews;6/15/2016 19:35;5;"Northern corn leaf blight was discovered in a field in Washington County last weekend"" Read more: http:// ow.ly/Iko0301hVzk #NCLB""";#NCLB;7.43E+17;Y;news
PatriciaMiln;3/12/2016 21:53;0;6 myths just about leaf blight that subconscious self experience versus separate: LrF;;7.09E+17;Y;awareness
realagriculture;3/9/2016 23:45;2;New tool for fighting northern corn leaf blight — Syngenta is releasing this 3-modes-in-one, long-lasting fungicide: http:// bit.ly/1OYWo76;;7.08E+17;Y;Ad
ProMED_mail;4/5/2016 15:20;1;PRO/PL> Bacterial leaf blight , rice - Peru: (PI) http:// bit.ly/237YqPL;;7.17E+17;Y;others
plantdisease;6/10/2016 16:41;17;Coconut trees hit by leaf blight disease http://www. thehindu.com/news/national/ tamil-nadu/coconut-trees-hit-by-leaf-blight-disease/article8695857.ece …;;7.41E+17;Y;news
bdsmaize;5/23/2016 17:09;0;Resistant hybrids, residue management & #fungicides can fight northern #corn leaf blight http:// bit.ly/1U77mKJ;#fungicides #corn;7.35E+17;Y;awareness
phy_papers;5/19/2016 2:37;0;Cercospora cf. flagellaris and C. cf. sigesbeckiae are associated with Cercospora leaf blight and purple seed stain… http:// dlvr.it/LLX0Rf;;7.33E+17;Y;awareness
AdvCropCare;6/21/2016 16:32;1;My first evidence of Northern Corn Leaf Blight in Northern IL. C/C with history. #plant16 #corn pic.twitter.com/JnIrIgKf5j;#plant16 #corn;7.45E+17;Y;self
panaridus;5/12/2016 19:33;0;South American leaf blight a biological weapon? http://www. ncbi.nlm.nih.gov/pmc/articles/P MC2759241/ …;;7.31E+17;Y;research
hiasilrdne;3/2/2016 10:50;0;#EurekaMag Efficacy of plant extracts in controlling leaf blight (Bipolaris sorokiniana) with increasing yield of… http:// dlvr.it/Kg4HWh;#EurekaMag;7.05E+17;Y;research
baldpathologist;5/24/2016 21:21;6;Planting the @UnitedSoy Cercospora leaf blight trial in Verona, MS @MSUExtService @ppp_trey #mscrops @MSSOY pic.twitter.com/TM2Qcquw04;#mscrops;7.35E+17;Y;others
TimbaNinja;6/16/2016 16:29;2;Despite the hot/dry conditions, Northern Leaf Blight is here. Do you have a plan to manage diseases this year? pic.twitter.com/OAqnAe2l2D;;7.43E+17;Y;self
PublicHealthBot;4/5/2016 15:20;0;PRO/PL> Bacterial leaf blight , rice - Peru: (PI) http:// ift.tt/237YnU5;;7.17E+17;Y;others
jmkolkman;6/28/2016 7:14;0;Inoculating G2F hybrid trial with Northern Leaf Blight . The season begins! http://www. genomes2fields.org / #TheCornInCornell pic.twitter.com/O9r2fHjUEr;#TheCornInCornell;7.48E+17;Y;others
garden_answers;3/2/2016 0:15;0;New blog post from http:// GardenAnswers.com about Pachysandra Leaf Blight - http://www. gardenanswers.com/plant-diseases /pachysandra-leaf-blight/ … pic.twitter.com/4KMlQkDESx;;7.05E+17;Y;awareness
tjcksn;6/15/2016 19:41;23;Northern Corn Leaf Blight confirmed n SE Iowa, so start watching 4 this disease in central & eastern Nebraska, too. https:// twitter.com/ISUCropNews/st atus/743134769379151872 …;;7.43E+17;Y;news
Agronomy_Guy;6/16/2016 18:34;1;Northern corn leaf blight showing up already. Keep an eye on susceptible hybrids especially silage. https:// twitter.com/damon_lee_smit h/status/743479133649375232 …;;7.43E+17;Y;news
LoveOfFarming;6/21/2016 19:37;5;Field Agronomist posted: V12 early planted corn on corn field near Columbus IN has Northern Corn Leaf Blight in the lower canopy. #NCLB;#NCLB;7.45E+17;Y;news
EurekaMag;3/7/2016 5:58;8;#EurekaMag Effects of nitrogen nutrition and bacterial leaf blight on rice leaves http:// dlvr.it/KjPPxC;#EurekaMag;7.07E+17;Y;awareness
EllenGoddard1;6/12/2016 10:48;1;Coconut trees hit by leaf blight disease http:// m.thehindu.com/news/national/ tamil-nadu/coconut-trees-hit-by-leaf-blight-disease/article8695857.ecel …;;7.42E+17;Y;news
garden_answers;3/29/2016 21:15;0;New blog post from http:// GardenAnswers.com about Leaf Blight - http://www. gardenanswers.com/plant-diseases /leaf-blight/ … pic.twitter.com/l0GB2eNETf;;7.15E+17;Y;awareness
agri_quiz;4/20/2016 19:10;1;Leaf blight disease of rice is due to bacteria #Imp Question;#Imp;7.23E+17;Y;awareness
wadeoehmichen;6/21/2016 22:12;2;Northern Corn Leaf Blight in Wisconsin! Spore ID confirmed in Jackson, Juneau and Dane counties #planthealth16 pic.twitter.com/vzHeg25TGw;#planthealth16;7.45E+17;Y;news
BobWrightUNL;3/28/2016 20:32;0;"@UNL_CropWatch Goss’s Bacterial Wilt & Leaf Blight of Corn; open access webinar by @tjcksn http://www. plantmanagementnetwork.org/edcenter/semin ars/corn/GossWilt/ … pic.twitter.com/GOJVu2p0PJ";;7.15E+17;Y;Ad
DonnersDirt;6/21/2016 20:57;5;Northern Corn Leaf Blight (NCLB) and Gray Leaf Spot (GLS) in Southwest Indiana. 10oz #HeadlineAMP at Tassel #BASF pic.twitter.com/1o36ZbrWdi;#HeadlineAMP #BASF;7.45E+17;Y;news
2blades;6/24/2016 1:14;1;Coconut trees hit by leaf blight disease - The Hindu http://www. thehindu.com/news/national/ tamil-nadu/article8695857.ece …;;7.46E+17;Y;news
eewoldt;6/17/2016 1:45;0;Another sign of the early stages Northern Corn Leaf blight showing up in Central IA. Photo credit @joblowschmidty pic.twitter.com/QVdXmkWVAV;;7.44E+17;Y;news
SecuritySeed;6/29/2016 16:26;5;Northern Corn Leaf Blight & Grey Leaf Spot are present on #corn at the #wku farm in Bowling Green, KY. pic.twitter.com/8B5gDiQQ1V;#corn #wku;7.48E+17;Y;news
rkvittetoe;6/13/2016 17:40;22;Seeing Northern Corn Leaf Blight . Warm, dry weather should slow it down! @alisonrISU @corndisease #iscucrops pic.twitter.com/clCs9MPXZr;#iscucrops;7.42E+17;Y;news
EPILIBERTAS;4/5/2016 19:00;0;PRO/PL> Bacterial leaf blight , rice - Peru: (PI): Other Plant Disease -- PeruThe National Agricultural Health ... http:// bit.ly/237YqPL;;7.17E+17;Y;others
imholtea;6/16/2016 23:41;14;Northern corn leaf blight beginning to show up in S. WI. @PioneerWI PioneerWI #Scout16 #NCLB pic.twitter.com/j908yQXiuw;#Scout16 #NCLB;7.44E+17;Y;news
MailsTera;6/12/2016 15:44;0;Leaf Blight #games #play #online #play #fun You have a limited number of moves to solve each leafy puzzle. Click... http://www. teragames.net/leaf-blight/;#games #play #online #play #fun;7.42E+17;N;ad
UIUCSmallGrains;5/20/2016 1:53;6;Scoring the #wheat for rust and leaf blight in Brownstown, IL pic.twitter.com/FnovXlHaoe;#wheat;7.33E+17;Y;others
AdamOwens_11;5/10/2016 20:22;3;Northern Corn Leaf Blight is showing up along the Lower Gulf Coast of TX. Keep a watchful eye on your fields. #NCLB . pic.twitter.com/4Aod8tv0I9;#NCLB;7.30E+17;Y;news
GwenfarsGarden;3/3/2016 11:15;2;. @Plantfairs Am reading newsletter & interested to see the note about @NortonPriory using garlic spray on Quince for leaf blight . Useful tip;;7.05E+17;Y;others
Invasion_Watch;6/25/2016 4:44;0;Invasion! Southern corn leaf blight and stalk rot in Grady County, Georgia: http:// bit.ly/296ZGtz #invasivespecies;#invasivespecies;7.47E+17;Y;news
