username;date;retweets;text;hashtags;id;AgriTweet;Category
llavalaurenn;3/14/2016 15:54;0;Was wondering why my nose is still runny as it's been like a week since I was sick. Until I remembered snow mold .. And how windy it's been.;;7.09E+17;n;
MidlandTurf;3/13/2016 20:36;0;@PatCCraig pink snow mold disease.;;7.09E+17;y;others
nessiedood;4/8/2016 22:24;0;Snow mold ........... http:// fb.me/735iLh4BX;;7.19E+17;n;
NHLAVerde;3/4/2016 15:59;1;Snow #mold is a fungus, that develops after 40 to 60 days of #snow cover and when #temperatures are around freezing. http:// bit.ly/21DxZgr;#mold #snow #temperatures;7.06E+17;y;Awareness
UMassTurfPath;3/28/2016 2:09;2;Join us at the Mt. Wash Resort GC tomorrow (9am) for some snow mold and FW rolling discussion.;;7.14E+17;y;Ad
UMassTurfPath;3/24/2016 14:13;0;Looking for something to do next Monday? Stop by Mt Washington GC for some snow mold and FW rolling discussion https:// ag.umass.edu/events/umassnh gcsa-snow-molddollar-spot-control-field-day …;;7.13E+17;y;Ad
JenniferKingsb6;4/8/2016 23:12;0;Got the sniffles? It could be snow mold http://www. theweathernetwork.com/news/articles/ feeling-sniffly-it-could-be-due-to-snow-mold/47129 …;;7.19E+17;n;
CreekSupt;3/23/2016 21:57;0;@TurfTank @leftcheek1 I applied my 2016 snow mold spray today.;;7.13E+17;y;self
meganinnodak;3/12/2016 19:59;0;I'm so ungodly allergic to snow mold . I've sneezed like 35 times today.;;7.09E+17;n;
TheWeatherNetUS;4/12/2016 20:58;2;Feeling sniffly? It could be due to snow mold . Find out what experts have to say: http:// bit.ly/1qOeu8m pic.twitter.com/iOI3s66noz;;7.20E+17;n;
m3gturtl3s;3/21/2016 21:41;0;I hope all these sneezes are the snow mold and not a cold coming;;7.12E+17;n;
LawnGardenHelp;5/5/2016 14:20;0;Grub damage would show up in the fall, @patrickdavidh . Due to the time of year, it may be snow mold . http:// scotts.io/6016BWwSr;;7.28E+17;y;self
XerxesWuff;3/16/2016 12:57;0;raked out some snow mold and miscellaneous garbage, put down a light application of fertilizer, and pulled some obnoxious weeds;;7.10E+17;y;self
UsefulOutdoor;4/21/2016 3:35;0;Drinking water from snow: Mold into a ball then wrap in a bandana. Heat the snowball &catch the dripping water for drinking. #outdoor;#outdoor;7.23E+17;n;
rjbuckwheat;5/12/2016 21:02;7;Run on pink snow mold this week! #Microdochium #mowedintherain #streaksofdeath pic.twitter.com/oieANYxEZM;#Microdochium #mowedintherain #streaksofdeath;7.31E+17;y;self
uwpaul;4/26/2016 15:18;0;My latest blog post harkens back to what happened to our snow mold fungicides last December https:// twitter.com/turfdiseases/s tatus/724905738368339968 …;;7.25E+17;y;Awareness
AsbestosMoldNew;3/11/2016 20:01;0;Snow mold pops up right after melting, causing allergies http:// buff.ly/1QLieAs;;7.08E+17;y;Awareness
RosePestTweets;6/27/2016 0:03;2;#SpiderWebs , Not Snow Mold , Covered Chicago's Lawns Thursday — Here's Why #lincolnpark http:// hubs.ly/H03rf-q0 pic.twitter.com/om8yh0u7Uh;#SpiderWebs #lincolnpark;7.47E+17;y;Awareness
NHLAVerde;3/10/2016 15:59;0;Snow #mold is a fungus, that develops after 40 to 60 days of #snow cover and when #temperatures are around freezing. http:// bit.ly/21DxZgr;#mold #snow #temperatures;7.08E+17;y;Awareness
czugel;4/22/2016 21:59;0;@uwpaul I figured you were stuck in snow mold somewhere! I'll save you a tee time!;;7.24E+17;n;
ArborScape;3/16/2016 23:09;0;Does my lawn have Snow Mold ? http:// goo.gl/fb/ZJhwQj;;7.10E+17;y;others
Blindbeader;3/8/2016 3:08;0;@Eilonwy24 They work really really well. Even the holistic vet thinks it can act as a stop gap for a couple weeks until snow mold is gone;;7.07E+17;n;
uwpaul;3/16/2016 18:38;0;When you're about to leave for a 2 day trip to rate snow mold sites and it snows 6 inches pic.twitter.com/aS1zk1Kio1;;7.10E+17;n;
weedmanhamilton;3/15/2016 16:45;0;This is the prime season for snow mold ! Here's some tips to help you identify and treat it: https:// youtu.be/XIwbv1uYA_I #Hamilton;#Hamilton;7.10E+17;y;Awareness
UsefulOutdoor;5/5/2016 5:30;0;Drinking water from snow: Mold into a ball then wrap in a bandana. Heat the snowball &catch the dripping water for drinking. #outdoor;#outdoor;7.28E+17;n;
ArborScape;3/17/2016 16:20;0;Does my lawn have Snow Mold ? what it is and what to do about it. http:// bit.ly/1puQJ4t by @arborscape pic.twitter.com/H5S7iS44t8;;7.10E+17;y;Awareness
nciacrops;3/28/2016 14:32;0;@farmerdoug93 Looks like snow mold . http://www. extension.umn.edu/garden/yard-ga rden/lawns/snow-molds-in-lawns/ …;;7.14E+17;y;self
GrassRootsTurf;5/12/2016 11:00;0;Rich Buckley, Rutgers Plant Diagnostic Lab identifying Pink Snow Mold from a golf course in Morris County, NJ as... http:// fb.me/3AZRN9o1M;;7.31E+17;y;self
GLCCTurf;3/14/2016 23:47;0;Spray lines on edges of fairways from last falls snow mold protection.. We got some fantastic control! @SyngentaTurf pic.twitter.com/1MDgQfehaw;;7.10E+17;y;self
fortfunlawncare;3/4/2016 16:41;0;Get your Snow Mold taken care of today! Call Fort Collins Lawn & Garden now at 970-368-4496. #SnowMoldMitigation #FortCollinsLawnCare;#SnowMoldMitigation #FortCollinsLawnCare;7.06E+17;y;Ad
uwpaul;4/5/2016 22:00;9;Wisconsin's Snow Mold Field Day is 4/13 in Marquette, MI. Plenty of disease for everyone http:// bit.ly/25Jrz2h pic.twitter.com/9Z4QYi3SMK;;7.17E+17;y;Awareness
Ginnnnyyyy;4/5/2016 6:45;0;Oiii. Snow mold ... go love yourself.;;7.17E+17;n;
HamiltonTicket8;3/15/2016 16:49;0;RT weedmanhamilton This is the prime season for snow mold ! Here's some tips to help you identify and treat it: https:// youtu.be/XIwbv1uYA_I #Hami;#Hami;7.10E+17;y;Awareness
BurtFuji;6/24/2016 13:30;0;Spider Webs, Not Snow Mold , Covered Chicago's Lawns Thursday — Here's Why http:// fb.me/50Nw3WiMV;;7.46E+17;y;Awareness
kempsuturf;3/15/2016 17:13;0;Accidental but useful check plot #snow mold pic.twitter.com/orm2EUypd7;#snow;7.10E+17;y;Awareness
weathernetwork;4/12/2016 18:02;47;Feeling sneezy and stuffy lately? It could be because of a fungus known as snow mold http:// ow.ly/10zZIy pic.twitter.com/aksXM4FnBB;;7.20E+17;n;
MiGCSA;3/28/2016 17:32;1;Join @Nancy_D123 at @TreetopsMich on Thursday to see one of the longest running snow mold studies in the country http://www. migcsa.org/index.php?cati d=8&newsid=745 …;;7.14E+17;y;Ad
c4d0c8574b3a4ee;4/12/2016 18:33;0;@weathernetwork snow mold ,so thats y I'm sick. I Feel better now knowing what I got .Thanks mister freeze.;;7.20E+17;n;
FLOLOfarms;3/26/2016 15:15;0;@blake_vince @farmerdoug93 @buckley778 would it be a safe assumption that is like the Snow Mold picture I had earlier this spring?;;7.14E+17;y;others
uwpaul;3/31/2016 20:12;4;Dodged snow, rain, fog, deer, and aggressive bar patrons...but snow mold ratings are done for another year pic.twitter.com/5XSfxcGGFf;;7.16E+17;n;
canyakker;4/5/2016 16:40;0;@ElfNDragon OK, the correct name is snow mold https://www. google.ca/search?q=snow+ mold&client=opera&hs=n2o&source=lnms&tbm=isch&sa=X&ved=0ahUKEwiUs4j13PfLAhVjnoMKHeWnCXUQ_AUIBygB&biw=1366&bih=633 …;;7.17E+17;n;
Anns_Life;3/22/2016 0:13;0;How to Repair Grass Damaged by Snow Mold http:// dlvr.it/Krf9CD #gardening #gardenchat pic.twitter.com/LMzH7ob1Hj;#gardening #gardenchat;7.12E+17;y;Awareness
states_great;6/2/2016 13:24;0;Pink snow mold out this morning. pic.twitter.com/3rwf1o754T;;7.38E+17;y;self
Anns_Life;3/21/2016 15:13;0;How to Repair Grass Damaged by Snow Mold http:// dlvr.it/KrSgrN;;7.12E+17;y;Awareness
turfmanPSU;3/12/2016 15:43;0;@uwpaul other than a few spots in the rough, this is the only snow mold we've found on our short cut turf pic.twitter.com/XSGDj7P39P;;7.09E+17;y;self
microfungirl;5/25/2016 18:58;0;A.M.Tronsmo discusses importance of resistance to snow mold independent of cold hardening for warming world #pmac16 pic.twitter.com/AK1UmsYDUh;#pmac16;7.36E+17;y;others
Anns_Life;3/28/2016 19:58;0;How to Repair Grass Damaged by Snow Mold http:// dlvr.it/Kvm73n #gardening #gardenchat pic.twitter.com/d3EBV9LnwL;#gardening #gardenchat;7.15E+17;y;Awareness
mikeradermacher;3/23/2016 2:26;0;@nicholasfolk I see. Less leaf blade may absorb moisture better, less chance of spring snow mold pressure...just tossing out ideas;;7.12E+17;y;others
nerdyki1130;3/2/2016 17:36;0;Fuck the Greeley Tribune and their ill-informed article on snow mold;;7.05E+17;n;
EricStrzepek;6/4/2016 15:51;0;@22Crowther see a ton of red thread and pink snow mold on rough. Waiting for course to get going ...still;;7.39E+17;y;self
TurfRepublic;4/27/2016 20:00;1;Last December there were questions about reapplying snow mold fungicides. Here's the verdict from @uwpaul http:// bit.ly/26tASE6;;7.25E+17;y;Awareness
GreenSightAg;3/13/2016 2:02;2;@UMassTurfPath as we roll out our #turfgrass #drone system, we will be sure to implement a snow mold analysis to help early season.;#turfgrass #drone;7.09E+17;y;Awareness
NHLAVerde;3/7/2016 18:02;0;Great tip to avoid snow mold on your grass! https:// twitter.com/BriggsStratton /status/705846670181978112 …;;7.07E+17;y;Awareness
JK_Turfgrass;4/4/2016 17:38;0;@UMassTurfPath 3 AI's to control snow mold . pic.twitter.com/D7mbrOqeBm;;7.17E+17;y;Awareness
PenderSuper;3/12/2016 21:13;0;I've been hearing a lot about more snow mold with late season N apps. cc @Tim_kgc https:// twitter.com/urbanturfmn/st atus/708745521922330624 …;;7.09E+17;y;Awareness
NHLAVerde;3/2/2016 15:59;0;Snow #mold is a fungus, that develops after 40 to 60 days of #snow cover and when #temperatures are around freezing. http:// bit.ly/21DxZgr;#mold #snow #temperatures;7.05E+17;y;Awareness
Hey_Tamona;3/21/2016 20:19;0;RT: @Anns_Life How to Repair Grass Damaged by Snow Mold http:// dlvr.it/KrZWvQ #How_Does_Your_Garden_Grow;#How_Does_Your_Garden_Grow;7.12E+17;y;Awareness
CoCalLandscape;3/2/2016 4:16;0;Snow Mold Disease Can Be Controlled - http:// cocal.com/snow-mold-dise ase-can-controlled/ …;;7.05E+17;y;Awareness
BucktownGuide;6/24/2016 13:20;0;Spider Webs, Not Snow Mold , Covered Chicago's Lawns Thursday — Here's Why http:// ift.tt/293rxe0 #Bucktown #Chicago;#Bucktown #Chicago;7.46E+17;y;Awareness
krystinaiam;3/24/2016 4:34;0;SEE SNOW MOLD https:// twitter.com/KyloR3n/status /712835397886156802 …;;7.13E+17;n;
WeedProOhio;3/2/2016 23:30;0;Beware of Snow Mold this Spring! http:// hubs.ly/H02cHh-0;;7.05E+17;y;Awareness
MSUTurf;3/28/2016 21:54;2;View MSU Snow Mold Trials at Treetops on March 31 http:// bit.ly/22Ve8dx;;7.15E+17;n;
uwpaul;4/6/2016 3:46;0;@maria_turfdr awesome, love going up there! And the snow mold is incredible!;;7.18E+17;n;
cjwturf;3/14/2016 2:03;0;A couple fairways on the course that are not sprayed entirely. Makes great lines of snow mold . pic.twitter.com/5TCGnIHtqA;;7.09E+17;y;self
UMassGardenClip;4/4/2016 15:50;0;"Rake lightly to promote lawn recovery from snow mold and vole damage. Sun sets 7:17; rises tomorrow 6:22.";;7.17E+17;n;
Turfguy00;5/16/2016 12:51;0;@HarryLigule @jeffwcc1_jeff loading up snow mold spray;;7.32E+17;y;self
uwpaul;5/20/2016 3:52;1;I'm biased but I don't think any turf disease gives better contrast between healthy and obliterated then snow mold https:// twitter.com/scottshanksbru 1/status/733444462509215745 …;;7.33E+17;y;others
EurekaMag;5/19/2016 1:31;0;#EurekaMag A cold inducible multidomain cystatin from winter wheat inhibits growth of the snow mold fungus,… http:// dlvr.it/LLW45F;#EurekaMag;7.33E+17;y;Research
JK_Turfgrass;4/4/2016 17:19;0;UMass Snow Mold seminar at Turning Stone. Great information in a year with little snow cover. #snowmold pic.twitter.com/ebiF4SzqUv;#snowmold;7.17E+17;y;Ad
RealSnarkLake;4/28/2016 19:59;0;I'm thinking of making a Tifo to raise awareness of snow mold . Makes as much sense as pro/rel week;;7.26E+17;n;
TurfRepublic;5/9/2016 18:00;0;What's the deal with snow mold fungicide? http:// bit.ly/26tASE6 @uwpaul @TurfDiseases;;7.30E+17;y;others
colly22mac;4/3/2016 2:37;0;Can't wait for the spring winds to blow all the snow mold and winter… https://www. instagram.com/p/BDt96KvsupRG lqpf5lmF3uLYczBq6j6gxLbeeo0/ …;;7.16E+17;n;
WolfgangCloud;3/5/2016 0:24;0;@BenHUlmer snow mold here to represent *sniff*;;7.06E+17;n;
uwpaul;3/10/2016 5:38;1;Things are looking good for our northern snow mold firewall https:// twitter.com/marquettegolf/ status/707671003992858624 …;;7.08E+17;y;others
blakeulrich;3/19/2016 1:07;0;@bjulie99 ordered some pesticide for the bit of snow mold we have and set up the BBQ schedule for the year.;;7.11E+17;y;self
OldStationInc;4/4/2016 19:45;0;Thought this would be appropriate today. Did you know that snow mold may appear even if it does not snow. If the... http:// fb.me/7ShSXUBjA;;7.17E+17;y;Awareness
sexdrugsfolk;4/5/2016 3:20;0;snow mold all over the pot for my healthy blooming orchid as per tradition;;7.17E+17;y;self
microfungirl;3/18/2016 18:16;0;Super super helping me rate snow mold plots after snow with @ToroGolf blowers to remove dusting of snow. Fun toy! pic.twitter.com/yYZGqtyQ5o;;7.11E+17;n;
troyal88;4/14/2016 18:22;0;@ErinAtlas Snow mold preventer worked like a charm;;7.21E+17;y;self
Searle_Turf;3/21/2016 14:19;0;@MaineGCSA Lobstah Stew mtg this wednesday! Umass snow mold trial results, round table discussions & indoor golf! http://www. mainegcsa.org/upcoming-event s.php …;;7.12E+17;n;
FMCturf;3/18/2016 14:05;1;Beware of snow mold this spring! @WeedProOhio explains what it is and why it happens: http:// ow.ly/ZgLdy;;7.11E+17;y;Awareness
Fitness_Te;3/29/2016 7:29;0;Snow mold field day at Treetops Golf Course #MichiganGardening http:// ifi.sh/9k9;#MichiganGardening;7.15E+17;n;
IainCPatterson;4/27/2016 12:18;0;Today's weather is a mix between hail and snow @Mold , Flintshire https://www. instagram.com/p/BEszh4QRgdfM 4R8uqnPLvZpq2zkip1MpIkI01c0/ …;;7.25E+17;n;
JandM2014;3/27/2016 20:01;0;Even where I left leaves I STILL can't get any snow mold ! Hopefully next yr will be better. pic.twitter.com/PXxNSZuwth;;7.14E+17;y;others
Yardstead;3/29/2016 7:29;0;Snow mold field day at Treetops Golf Course #MichiganGardening http:// ifi.sh/9k9;#MichiganGardening;7.15E+17;n;
CoryLCowan;4/2/2016 6:11;0;@YoyoCrochet looks like snow mold to me.;;7.16E+17;y;self
rmooney_mooney;4/1/2016 4:15;1;Maybe snow contributes to snow mold . 5 months of snow cover no frost in the ground. #Untreated grey beats pink? pic.twitter.com/W9PxK6m5AN;#Untreated;7.16E+17;n;
terrydavio;3/24/2016 23:44;0;@KernsJim no way you got pink snow mold . Almost looks like a really dried out punk snow mold infection, though I'm sure I'm wrong.;;7.13E+17;y;self
Renae_Chiovaro;3/22/2016 9:09;0;RT @Anns_Life How to Repair Grass Damaged by Snow Mold http:// bit.ly/1ZkuTwo;;7.12E+17;y;Awareness
Dusk357A;3/5/2016 23:50;0;Every few yrs I go thru daily sneezing fits iñ the Spring and can't figure out why. Then suddenly remember SNOW MOLD . My only allergy.;;7.06E+17;n;
weathernetwork;4/8/2016 21:42;12;Feeling sniffly? It could be due to snow mold : http:// bit.ly/1SVn65N pic.twitter.com/GaZiPW5abX;;7.19E+17;n;
TurfRepublic;5/3/2016 23:01;0;Snow mold fungicide persistence. @uwpaul http:// bit.ly/26tASE6 @TurfDiseases;;7.28E+17;y;Awareness
yvalaresistance;4/17/2016 21:50;0;@mariaDadd my allergies are brutal from the snow mold rn, the rain is very welcome.;;7.22E+17;n;
Superin10dent;6/8/2016 16:49;2;It's not every day that you see Waitea and pink snow mold kicking it side by side...then again, this is Michigan! pic.twitter.com/R7ZWtXWFJM;;7.41E+17;y;self
SpitzPhillip;4/7/2016 0:52;0;Difficult to assess snow mold treatments in these conditions pic.twitter.com/ltLvIMgd9v;;7.18E+17;y;self
thegolfersnews;3/29/2016 8:15;0;Snow mold field day at Treetops Golf Course http:// thegolfersnews.com/?p=5882;;7.15E+17;y;others
weedmanGTA;3/15/2016 16:45;0;This is the prime season for snow mold ! Here's some tips to help you identify and treat it: https:// youtu.be/XIwbv1uYA_I #Toronto;#Toronto;7.10E+17;y;Awareness
TurfRepublic;4/28/2016 0:00;3;We hope to learn more about the persistence of snow mold fungicides. @uwpaul http:// bit.ly/26tASE6 @TurfDiseases;;7.25E+17;y;Awareness
Lifeworxgreen;4/11/2016 1:04;0;Got the sniffles? It could be snow mold via @rightrelevance http:// buff.ly/1qBHL62 pic.twitter.com/JVpIqSkXA0;;7.19E+17;n;
cph_turf;3/15/2016 2:23;0;This is what bluegrass fairway looks like after no fall snow mold app. Mostly invasive bent being attacked. #notbad pic.twitter.com/qbLlhJcqPC;#notbad;7.10E+17;y;self
Anns_Life;3/21/2016 16:55;0;How to Repair Grass Damaged by Snow Mold : How to Repair Grass Damaged by Snow Mold How to fix the snow mold da... http:// bit.ly/1ZkuTwo;;7.12E+17;y;Awareness
llbgolfsuper69;4/19/2016 22:41;1;F9 greens uncovered & double cut including collars. Same for B9 tomorrow. Some snow mold but otherwise good #LLBGC pic.twitter.com/fbDA72gOna;#LLBGC;7.23E+17;y;self
OttSamuel18;3/29/2016 13:11;0;When the snow mold hit you.;;7.15E+17;y;others
Stone_BearTurf;5/10/2016 21:12;0;Slit seeding and composting winterkill areas.. Desiccation on the mounds and snow mold in the low areas.. Extremes!! pic.twitter.com/OqhGtOAcmC;;7.30E+17;y;self
GCSAA_NE;3/23/2016 14:39;1;Game on @MaineGCSA Lobstah Stew meeting with @UMassTurfPath snow mold and pesticide restriction updates pic.twitter.com/hpvKRax3VR;;7.13E+17;y;Awareness
Anns_Life;3/24/2016 18:58;1;How to Repair Grass Damaged by Snow Mold http:// dlvr.it/Kt2Btv #gardening #gardenchat pic.twitter.com/1e1qb37iKq;#gardening #gardenchat;7.13E+17;y;Awareness
anoregoncottage;3/21/2016 23:10;0;How to Repair Grass Damaged by Snow Mold http:// pubx.co/Yz9Fn5 via @Anns_Life #diy #repair;#diy #repair;7.12E+17;y;Awareness
jngarc;5/6/2016 12:09;2;@UCONNturfpath @AtlanticGandT @turfnet multiple calls about active pink snow mold yesterday. #whatmonthisit ?;#whatmonthisit;7.29E+17;y;self
rmooney_mooney;4/1/2016 19:22;3;Fungicides control snow mold ! 5 months snow cover. #treated Turfgrass 101 Green is G Good brown is Bad !! pic.twitter.com/sgKhgiiiG8;#treated;7.16E+17;y;self
Anns_Life;3/21/2016 15:24;0;How to Repair Grass Damaged by Snow Mold http:// bit.ly/1MjayWj #gardening #garden pic.twitter.com/LGLjMKweWQ;#gardening #garden;7.12E+17;y;Awareness
migreenskeeper;3/10/2016 19:08;0;Snow Mold http:// buff.ly/1QGDHt9;;7.08E+17;y;Awareness
Tyson_Lenz;5/1/2016 18:03;0;@akaNanette ugh. Allergies are the worst. Thankfully I am past my allergy season. Snow mold is my kryptonite;;7.27E+17;n;
MSUAdam;3/29/2016 19:25;0;#TyphulaTuesday join Dr. Vargas at Treetops this Thursday at 10am for Snow Mold field day. Please RSVP.;#TyphulaTuesday;7.15E+17;y;Ad
teaconnexions;3/21/2016 18:11;0;Snow mold pops up right after melting, causing allergies http:// bit.ly/1TE8DxU;;7.12E+17;y;Awareness
Your_gal_Ruthy;3/20/2016 7:06;0;@legendofDuff maybe snow mold here.;;7.11E+17;y;self
nucleargalaxy;3/11/2016 15:52;0;Snow mold has be suffering. Why can't it stay winter forever?? I hate the spring thaw.;;7.08E+17;n;
turfdoug;5/11/2016 11:44;0;I love when we have a frost delay, isn't it May? And last week I saw snow mold , so confused;;7.30E+17;y;self
uwpaul;4/11/2016 16:39;1;WI Snow Mold Field Day (4/13) is canceled...due to snow. Lots of snow. For @MarquetteGolf sake I hope it melts soon pic.twitter.com/kNgKSrY2U6;;7.20E+17;y;Ad
h_holmes8;3/30/2016 19:01;0;Allergies and snow mold got me feeling like.... http:// ift.tt/25wI7L0 pic.twitter.com/OQpfayEHcu;;7.15E+17;n;
RuthinPwllGlasg;3/4/2016 14:24;0;Ladies Mail on Sunday Match v Mold postponed to the 12th March due to snow Mold Golf Club;;7.06E+17;n;
RogerCookTOH;5/8/2016 0:46;0;@ericmbuck hard to tell not being there guess would be a low spot where water gathered froze and killed grass or snow mold disease;;7.29E+17;y;self
Anns_Life;3/29/2016 22:58;0;How to Repair Grass Damaged by Snow Mold http:// dlvr.it/KwJjNY #gardening #gardenchat pic.twitter.com/Ueyv6lcrg1;#gardening #gardenchat;7.15E+17;y;Awareness
WeedManBarrie;4/8/2016 21:47;0;Snow Mold , its a real thing. http:// bit.ly/1SFbXDz https:// twitter.com/weathernetwork /status/718524436782182404 …;;7.19E+17;y;self
StaceyFergs;3/4/2016 15:51;0;OK. I NEVER do this. But I have to go have a long nap lol. I'm getting killed by this snow mold allergy, and... http:// fb.me/2z61p66Jr;;7.06E+17;n;
wheat_papers;4/16/2016 14:12;0;The cold-induced defensin TAD1 confers resistance against snow mold and Fusarium head… http:// dlvr.it/L4Jv1D pic.twitter.com/eJC1cXq57W;;7.21E+17;y;Research
TurfRepublic;5/10/2016 2:00;0;Snow mold fungicide persistence. http:// bit.ly/26tASE6 @uwpaul @TurfDiseases;;7.30E+17;y;self
ncdisasterteam;3/2/2016 18:36;0;Greeley residents battling snow mold after white stuff #moldremoval , #moldremediation http:// webogi.com/6xZVRl pic.twitter.com/wraSvSPPam;#moldremoval #moldremediation;7.05E+17;n;
erictwatkins;3/23/2016 17:53;0;@BruceTdlbruce were you and @uwpaul finally able to get some snow mold on ff?;;7.13E+17;n;
Renzou;4/15/2016 18:23;0;@schommer75 Bare spots only. Attempting to fix the snow mold areas and the spots where the sod is dying against the house.;;7.21E+17;n;
eleveeturf;5/13/2016 2:12;0;@rjbuckwheat had some yellow patch and pink snow mold last week. Love it;;7.31E+17;n;
snowbringer;4/22/2016 20:28;0;@bjw_draw Normally, I am an autumn allergy girl, but this year has been awful with snow mold and now ALL THE FLOWERS at one time. :P;;7.24E+17;n;
ebookshare;5/14/2016 13:15;0;Snow Mold http:// goo.gl/fb/dzRTF5;;7.31E+17;n;
djsoldat;4/12/2016 4:25;0;@paceturf I agree for the most part but my K work shows that tissue testing is much more predictive of snow mold than soil testing for K;;7.20E+17;y;Awareness
FordsPestTurf;4/14/2016 15:42;0;Your Lawn Has Snow Mold : Symptoms: Damage from snow mold fungi usually becomes apparent as the snow melts and ... http:// bit.ly/1qUCaYs;;7.21E+17;y;Awareness
Elsablaine;3/10/2016 0:46;0;@vidman my coworker was saying her eyes were burning today. She thought it was too early for allergies but we never thought of snow mold .;;7.08E+17;n;
UMassTurfPath;3/9/2016 20:43;1;"Maybe I should have worn shorts today""...File that under things you don't normally say while rating snow mold plots in March""";;7.08E+17;n;
weedmanottawa;3/15/2016 16:45;0;This is the prime season for snow mold ! Here's some tips to help you identify and treat it: https:// youtu.be/XIwbv1uYA_I #Ottawa;#Ottawa;7.10E+17;y;Awareness
thewhalemann;3/12/2016 1:01;0;@HoosicGrounds nutrients and some leaf spot/ snow mold protection.;;7.08E+17;y;others
NatureMuseum;6/24/2016 16:45;1;Spider Webs, Not Snow Mold , Covered Chicago's Lawns Thursday — Here's Why http:// buff.ly/28TJhwV pic.twitter.com/H0eh9Gk227;;7.46E+17;y;Awareness
roscoe_village;6/24/2016 13:30;0;Spider Webs, Not Snow Mold , Covered Chicago's Lawns Thursday — Here's Why: Wednesday's rain led to perfect… http:// m.tbnn.it/LdtwNk;;7.46E+17;y;Awareness
Chris_Hedberg;4/28/2016 18:53;0;Our snow mold control plot is still struggling to fill in. Weather hasn't cooperated much to help these areas. pic.twitter.com/Qj2Kux7y79;;7.26E+17;y;others
ClCahalane;5/4/2016 18:27;0;Same products on greens and aprons but aprons are smoked with snow mold pic.twitter.com/cIA3rVcUt8;;7.28E+17;y;self
PenderSuper;4/12/2016 19:19;0;@paceturf @djsoldat @asianturfgrass snow mold Nd anthracnose happen at diff times of yr? GP gets fert amount right at right time;;7.20E+17;y;Awareness
krystinaiam;3/23/2016 23:58;0;Is this snow mold ? pic.twitter.com/zCJ6uI5u8d;;7.13E+17;y;others
SteveAbler;3/21/2016 15:04;0;If correct, a preventive application for Microdochium patch is a good idea. Fall snow mold protection is long gone. https:// twitter.com/NWSGreenBay/st atus/711854514828124160 …;;7.12E+17;y;others
Anns_Life;3/22/2016 16:58;0;How to Repair Grass Damaged by Snow Mold http:// dlvr.it/Ks0rW3 #gardening #gardenchat pic.twitter.com/wc1xhVsTQR;#gardening #gardenchat;7.12E+17;y;Awareness
