username;date;retweets;text;hashtags;id;agree tweet y/N;category
EurekaMag;4/30/2016 21:28;0;#EurekaMag Inheritance of Fusarium head blight resistance in the soft red winter wheat Ernie http:// dlvr.it/LBkZ30;#EurekaMag;7.26E+17;y;awareness
rob_choudhury;5/5/2016 23:18;0;@edelponte @nikcunniffe @tofazzalislam @KamounLab My mistake, I was mixing up blast for head blight;;7.28E+17;y;self
SeedWorldMag;4/8/2016 23:40;0;[Germination Webinar] Management is Key to Controlling Fusarium Head Blight . Register: http:// ow.ly/10sAFj pic.twitter.com/SNgzuERMSw;;7.19E+17;y;ad
wheat_papers;5/28/2016 12:48;0;Integrated Metabolo-Transcriptomics Reveals Fusarium Head Blight Candidate Resistance Genes… http:// dlvr.it/LQY1MT pic.twitter.com/A1DwJZdb1V;;7.37E+17;y;research
yates_bill;6/17/2016 23:13;0;@cedricminet02 @cyr081 Fusarium , head blight ?;;7.44E+17;y;others
wheatgen_papers;5/20/2016 4:36;1;Simultaneous selection for yield-related traits and susceptibility to Fusarium head blight in spring wheat RIL… http:// dlvr.it/LM1RV4;;7.33E+17;y;research
JoanneDavidhiza;6/16/2016 15:17;0;Fusarium head blight guidance for Michigan malting barley production | MSU Extension http:// msue.anr.msu.edu/news/fusarium_ head_blight_guidance_for_michigan_malting_barley_production …;;7.43E+17;y;awareness
Team_Thomma;6/2/2016 9:21;1;KH Kogel elaborates on the power of HIGS to control Fusarium head blight #bioeconomy http://www. ncbi.nlm.nih.gov/pubmed/24218613;#bioeconomy;7.38E+17;y;research
pubproducts;6/27/2016 20:00;0;Fusarium Head Blight in Malting Barley http:// ift.tt/28XMPZP;;7.47E+17;y;others
BrianDeverell;6/2/2016 0:51;1;Fungicide applications in wheat have been happening recently. More on Fusarium Head Blight : https://www. extension.purdue.edu/extmedia/BP/BP -33-W.pdf … pic.twitter.com/SvdfgKRHrB;;7.38E+17;y;self
Todays_Farmer;4/29/2016 23:30;0;Fusarium head blight or scab of wheat was unusually widespread and severe in Missouri last year. http:// ipm.missouri.edu/IPCM/2016/4/Fu sarium_Head_Blight_or_Scab_of_Wheat/ …;;7.26E+17;y;others
GerminationMag;3/7/2016 16:08;0;New Webinar Announcement: Controlling Fusarium Head Blight in Canada. Register here: http:// ow.ly/Za8bl pic.twitter.com/n72kKGNi9X;;7.07E+17;y;ad
wheat_papers;6/2/2016 22:36;1;Diversity of Fusarium head blight populations and trichothecene toxin types reveals… http:// dlvr.it/LSpjDh pic.twitter.com/Fms9JaZAAS;;7.38E+17;y;research
UVMExtcropsoil;6/24/2016 20:40;1;Evaluating organic controls for fusarium head blight . Learn more at 6/28 grain research day, http:// bit.ly/24XvpUa pic.twitter.com/K0kTfcN4uZ;;7.46E+17;y;ad
Bayer4CropsCA;6/30/2016 0:44;11;Fusarium Head Blight is present in #WestCdnAg . Be sure to assess the risk in your field and protect your crops pic.twitter.com/N8z6v4r8Er;#WestCdnAg;7.48E+17;y;news
UTcrops;4/25/2016 17:07;1;New post: Fusarium Head Blight /Head Scab Update http:// news.utcrops.com/?p=12878;;7.25E+17;y;others
comarkcoop;5/25/2016 15:38;0;Retweeted Bryson Haverkamp ( @BrysonHaverkamp ): Some fusarium head blight showing up south of Andale, KS.... http:// fb.me/2sNgF39Bo;;7.35E+17;y;news
JuneauPatrice;5/29/2016 11:23;0;Wheat Growers Warned of Fusarium Head Blight http:// ift.tt/1TQ5YjO;;7.37E+17;y;awareness
midwestgrain;6/1/2016 15:03;0;Michigan Wheat: Managing Leaf Diseases and Fusarium Head Blight #agfax http:// buff.ly/1XNjaay pic.twitter.com/To63NauPbw;#agfax;7.38E+17;y;awareness
PACropDoc;5/18/2016 13:01;2;Fusarium Head Blight Update — Crops and Soils — Penn State Extension #wheat #head scab http:// extension.psu.edu/plants/crops/n ews/2016/05/fusarium-head-blight-update …;#wheat #head;7.33E+17;y;awareness
Phytpath_Papers;6/2/2016 13:41;0;Diversity of Fusarium head blight populations and trichothecene toxin types reveals regional differences in… http:// dlvr.it/LSdK5B;;7.38E+17;y;research
Bayer4CropsCA;4/25/2016 23:42;2;Watch @TroyBasaraba and @GerminationMag to learn about Managing Fusarium Head Blight #Spray16 http:// goo.gl/daLDgA;#Spray16;7.25E+17;y;awareness
MizzouIPM;4/29/2016 15:55;1;Fusarium Head Blight or Scab of Wheat (and Other Head Diseases of Winter Wheat)... http:// fb.me/54DXq4mL2;;7.26E+17;y;others
WaltersRachelM;5/31/2016 14:35;0;Wheat Growers Warned of Fusarium Head Blight http://www. lancasterfarming.com/farming/field_ crops/wheat-growers-warned-of-fusarium-head-blight/article_dea2497b-4d72-54f3-88d2-38fdf08b6d5c.html?utm_medium=social&utm_source=twitter&utm_campaign=user-share … via @LancFarming;;7.38E+17;y;awareness
thewheatteam;6/24/2016 15:10;3;Wheat School - Fusarium Head Blight Fungicide Application Tips https:// youtu.be/L2okT-pyb7g via @YouTube;;7.46E+17;y;awareness
