username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
syngentacanada;2016-11-29 18:40;1;2;"RT @specialtyseeds : Frequency of samples with fusarium graminearum at @2020SeedLabs this fall. pic.twitter.com/vSXXcVdXsi";;@specialtyseeds @2020SeedLabs;;"803654854153539585";https://twitter.com/syngentacanada/status/803654854153539585
saskforage;2016-11-29 15:44;0;0;"Today there is a #fusarium session in Swift Current! #westcdnag #feed https:// twitter.com/skagriculture/ status/803299427456843780 …";;;#fusarium #westcdnag #feed;"803610570532339712";https://twitter.com/saskforage/status/803610570532339712
Pi1047;2016-11-29 15:43;0;0;""เมล่อนที่กูปลูกแทบตายแม่งเป็นโรคเหี่ยวที่เกิดจาก Fusarium ผลแตกด้วยเสียดายจัง" #เมล่อนซอมบี้ สิ้นคำของเพื่อนที่สีหน้าเศร้าสุดเหมือนผัวตาย";;;#;"803610395541782528";https://twitter.com/Pi1047/status/803610395541782528
EmphasisProject;2016-11-29 11:43;0;0;"Effect of Atmospheric CO2 & Temperature on the Disease Severity of Rocket Plants Caused by Fusarium Wilt http:// buff.ly/2gehBEn v @PLOSONE pic.twitter.com/6Mvpb2pjwt";;@PLOSONE;;"803549828668149764";https://twitter.com/EmphasisProject/status/803549828668149764
infoagrocom;2016-11-29 11:29;2;2;"Bayer presenta lechuga resistente a Fusarium http://www. infoagro.com/noticias/2016/ bayer_presenta_lechuga_resistente_a_fusarium.asp …";;;;"803546351627862016";https://twitter.com/infoagrocom/status/803546351627862016
grabber154;2016-11-29 10:56;0;0;"Thirty-two isolates of Fusarium spp. cultures.";;;;"803538118569697280";https://twitter.com/grabber154/status/803538118569697280
Prof_GD_Foster;2016-11-29 10:33;3;1;"A high resolution genetic map of the cereal crown rot pathogen Fusarium pseudograminearum http:// onlinelibrary.wiley.com/doi/10.1111/mp p.12519/abstract …";;;;"803532270409748480";https://twitter.com/Prof_GD_Foster/status/803532270409748480
CGSpaceResearch;2016-11-29 09:50;0;0;"#CGIAR article: Effect of cropping on accumulation of Fusarium head blight of wheat Inocula in crop residues http:// hdl.handle.net/10568/77486 .";;;#CGIAR;"803521442977632256";https://twitter.com/CGSpaceResearch/status/803521442977632256
_schools_;2016-11-29 08:30;0;0;"#GreenCultured Cannabis Plant Symptoms of Fusarium Wilt. Read Blog: http:// owler.us/abTIym";;;#GreenCultured;"803501406728531968";https://twitter.com/_schools_/status/803501406728531968
_colleges_;2016-11-29 08:30;0;0;"#GreenCultured Cannabis Plant Symptoms of Fusarium Wilt. Read Blog: http:// owler.us/abTIxX";;;#GreenCultured;"803501251287621632";https://twitter.com/_colleges_/status/803501251287621632
CGSpaceResearch;2016-11-29 07:40;0;0;"#CGIAR article: QTL mapping reveals genomic loci associated with Fusarium ear rot resistance in maize http:// hdl.handle.net/10568/77394 .";;;#CGIAR;"803488719114240001";https://twitter.com/CGSpaceResearch/status/803488719114240001
patchsevenfold;2016-11-29 04:45;0;1;"@javayala94 Fusarium es una especie de hongo fitopatógeno :)";;@javayala94;;"803444775974105088";https://twitter.com/patchsevenfold/status/803444775974105088
patchsevenfold;2016-11-29 02:52;0;1;"Mi día se resume en leer sobre el aislamiento de Fusarium oxysporun desde la semilla y tallo del maíz. Aaah y un accidente..";;;;"803416202152316932";https://twitter.com/patchsevenfold/status/803416202152316932
PanosSarris;2016-11-29 00:23;0;0;"RNA-seq Transcriptome Response of Flax (Linum usitatissimum L.) to the Pathogenic Fungus Fusarium oxysporum https:// twitter.com/FrontPlantSci/ status/803376321678180353 …";;;;"803378700628721665";https://twitter.com/PanosSarris/status/803378700628721665
FrontPlantSci;2016-11-29 00:13;0;2;"RNA-seq Transcriptome Response of Flax (Linum usitatissimum L.) to the Pathogenic Fungus Fusarium oxysporum f. sp.… http:// dlvr.it/MmGNCX pic.twitter.com/DmKB8WAs0g";;;;"803376321678180353";https://twitter.com/FrontPlantSci/status/803376321678180353
SKAgriculture;2016-11-28 23:14;5;2;"Join us for the Fusarium Information Session  in Southey on Dec. 1. Registration details are here: http:// bddy.me/2gD7TcR #SaskAg";;;#SaskAg;"803361505534181377";https://twitter.com/SKAgriculture/status/803361505534181377
herder_c;2016-11-28 22:18;2;3;"UV-licht om schimmelziektes als botritis (koprot) en fusarium tegen te gaan in de bollenteelt. Kansrijk systeem voor de #bio uienteelt? pic.twitter.com/FDgxzdABbM";;;#bio;"803347255226986497";https://twitter.com/herder_c/status/803347255226986497
SKAgriculture;2016-11-28 19:08;3;1;"Don’t miss the Fusarium Information Session tomorrow at the Days Inn, Swift Current. 1 – 4:30 p.m. Call 306-778-8285 to register.";;;;"803299427456843780";https://twitter.com/SKAgriculture/status/803299427456843780
CAMPOAGRARIO;2016-11-28 18:35;0;0;"Bayer asegura la producción de verano con nuevas variedades de lechuga resistentes a Fusarium Ofrecen un... http:// fb.me/1CVdvEtud";;;;"803291333624401920";https://twitter.com/CAMPOAGRARIO/status/803291333624401920
produmedios;2016-11-28 18:15;2;2;"Cómo combatir enfermedad de banano y plátano, conocida como marchitamiento por fusarium R4-T, según ICA Colombi pic.twitter.com/LHYb1Dy74P";;;;"803286253336666116";https://twitter.com/produmedios/status/803286253336666116
GreenCulturED;2016-11-28 17:00;0;0;"Cannabis Plant Symptoms of Fusarium Wilt http:// fb.me/78VgGpkhB";;;;"803267430726238208";https://twitter.com/GreenCulturED/status/803267430726238208
GreenCulturED;2016-11-28 16:41;0;0;"Cannabis Plant Symptoms of Fusarium Wilt- Cannabis w/ Verticillium & Fusarium Wilt Fusarium wilt is most... http:// fb.me/2RZqG4AMW";;;;"803262552243339264";https://twitter.com/GreenCulturED/status/803262552243339264
GreenCulturED;2016-11-28 16:41;0;0;"Cannabis Plant Symptoms of Fusarium Wilt- Cannabis w/ Verticillium & Fusarium Wilt Fusarium wilt is most prevalent http:// bit.ly/2gaWUsJ";;;;"803262532328648704";https://twitter.com/GreenCulturED/status/803262532328648704
VicamWaters;2016-11-28 16:24;2;0;"Not surprising with the cool, wet growing season - Fusarium toxins: https:// twitter.com/AllAboutFeed/s tatus/803219913984724992 …";;;;"803258377132511232";https://twitter.com/VicamWaters/status/803258377132511232
SKAgriculture;2016-11-28 16:24;4;1;"FYI #SaskAg ! A Fusarium Information Session is being hosted tomo @the Days Inn, Swift Current. 1 – 4:30 p.m. Call 306-778-8285 to register.";;@the;#SaskAg;"803258156562399234";https://twitter.com/SKAgriculture/status/803258156562399234
GreenCulturED;2016-11-28 16:01;0;0;"Fusarium Wilt & Cannabis Plant Symptoms- Verticillium &amp; Fusarium Wilt Cannabis Fusarium wilt is most prevalen... http:// fb.me/2Cagv70Rl";;;;"803252507505991680";https://twitter.com/GreenCulturED/status/803252507505991680
GreenCulturED;2016-11-28 16:01;0;0;"Fusarium Wilt & Cannabis Plant Symptoms- Verticillium &amp; Fusarium Wilt Cannabis Fusarium wilt is most prevalen http:// bit.ly/2fBrdVx";;;;"803252411389202432";https://twitter.com/GreenCulturED/status/803252411389202432
kenken_drug;2016-11-28 15:15;1;2;"Fusarium 属(アオカビ)が産生するマイコトキシンで、発がんプロモーター作用があるものは次のうちどれか。";;;;"803240946502541312";https://twitter.com/kenken_drug/status/803240946502541312
drugmemo;2016-11-28 15:10;1;2;"Fusarium 属（アカカビ）のF.nivaleは、トリコテセン系毒素のニバレノールを産生する。摂取により悪心嘔吐、造血機能障害を引き起こす。麦";;;;"803239641801338880";https://twitter.com/drugmemo/status/803239641801338880
jacquet_chris;2016-11-28 14:43;0;1;"Frontiers | The Mechanisms of Maize Resistance to Fusarium verticillioides by Comprehensive Analysi... | @scoopit http:// sco.lt/60WrGT";;@scoopit;;"803232936837332993";https://twitter.com/jacquet_chris/status/803232936837332993
Ecospray;2016-11-28 10:05;1;0;"Apply EGC to kill all nematodes and also give Fusarium protection";;;;"803162856338427904";https://twitter.com/Ecospray/status/803162856338427904
CGSpaceResearch;2016-11-28 09:20;0;0;"#CGIAR article: Resistance of Kenyan wheat germplasm to Fusarium head blight and deoxynivalenol contamination http:// hdl.handle.net/10568/77329 .";;;#CGIAR;"803151500448919553";https://twitter.com/CGSpaceResearch/status/803151500448919553
infonatura2;2016-11-28 08:12;0;0;"Please RT! #ciencia #ecologia #salud #naturaleza Fusarium radicis-cucumerinum http:// tinyurl.com/zecjvbu pic.twitter.com/6RSrzX0uc7";;;#ciencia #ecologia #salud #naturaleza;"803134422660841472";https://twitter.com/infonatura2/status/803134422660841472
Andrew_Meurant;2016-11-28 02:46;0;1;"Three new lettuce varieties resistant to Fusarium https:// lnkd.in/gzJGaEv";;;;"803052514362822656";https://twitter.com/Andrew_Meurant/status/803052514362822656
patchsevenfold;2016-11-28 02:44;0;6;"Mañana empiezo mi aventura en el BiotecSin del IPN investigando a Fusarium sp :) wish me good luck";;;;"803051997154807808";https://twitter.com/patchsevenfold/status/803051997154807808
brock_beach;2016-11-28 00:47;2;3;"Saw this at a conference in winnipeg. Neat little animation on fusarium . https:// youtu.be/HE1WwOFDLUU";;;;"803022386043834368";https://twitter.com/brock_beach/status/803022386043834368
litscraper;2016-11-27 19:20;0;0;"A high resolution genetic map of the cereal crown rot pathogen Fusarium pseudograminearum provides a near complete… http:// dlvr.it/MlpfFM";;;;"802940085691817985";https://twitter.com/litscraper/status/802940085691817985
PHC_PiusFloris;2016-11-27 18:15;0;0;"@KwekerijWesthof @duurzaamtelen @ericmoerdijk @markversluis2 @FrankPKuijpers Door gezondere grond komt er meer O2 . Fusarium leeft anaeroob.";;@KwekerijWesthof @duurzaamtelen @ericmoerdijk @markversluis2 @FrankPKuijpers;;"802923910299795456";https://twitter.com/PHC_PiusFloris/status/802923910299795456
BS_PP;2016-11-27 18:12;9;7;"Kansas researchers clone Fusarium head blight resistance gene Fhb1 | Press release: http:// ow.ly/V7YE306yONB Paper: http:// ow.ly/IOtl306yOZd";;;;"802923022298578944";https://twitter.com/BS_PP/status/802923022298578944
CleanLightGroup;2016-11-27 17:18;0;0;"@RemijnLuc @AkkerbouwNOost Als we uien met deze CleanLight PotatoCare zouden behandelen, verlagen we de #Fusarium druk op de oppervlakte.";;@RemijnLuc @AkkerbouwNOost;#Fusarium;"802909585279434753";https://twitter.com/CleanLightGroup/status/802909585279434753
plant_biology;2016-11-27 15:05;0;0;"A high resolution genetic map of the cereal crown rot pathogen Fusarium pseudograminearum provides a near complete… http:// dlvr.it/MllRbZ";;;;"802876027076689920";https://twitter.com/plant_biology/status/802876027076689920
yakugaku56;2016-11-27 14:10;0;7;"【 Fusarium 属】 ふざけるな！ゼニガタのとっつぁんと不二子 ※ふざ： Fusarium 属 ゼ：ゼアラレノン ニ：二バレノール とっつ：T-2トキシン 不：フモニシン";;;;"802862186854875136";https://twitter.com/yakugaku56/status/802862186854875136
KwekerijWesthof;2016-11-27 12:27;0;0;"@PHC_PiusFloris @duurzaamtelen @ericmoerdijk @markversluis2 @FrankPKuijpers Ook werkzaam in andere gewassen tegen fusarium ?";;@PHC_PiusFloris @duurzaamtelen @ericmoerdijk @markversluis2 @FrankPKuijpers;;"802836185425084417";https://twitter.com/KwekerijWesthof/status/802836185425084417
wheat_papers;2016-11-27 12:16;0;0;"A high resolution genetic map of the cereal crown rot pathogen Fusarium pseudograminearum provides a near complete… http:// dlvr.it/MljKGp pic.twitter.com/rGbsogwMSa";;;;"802833388478472193";https://twitter.com/wheat_papers/status/802833388478472193
patchsevenfold;2016-11-27 05:43;0;0;"La estancia que haré en el centro de investigación será sobre Fusarium , cuando ni siquiera logré exentar Micología. El chiste se cuenta solo";;;;"802734623029530625";https://twitter.com/patchsevenfold/status/802734623029530625
wpstubs;2016-11-27 01:54;0;0;"Someone created a Wikipedia article about " Fusarium aderholdii". Help expand it! #Microbiology #Fungi http:// en.wikipedia.org/wiki/Fusarium_ aderholdii?src=wpstubs&tour=firstedit …";;;#Microbiology #Fungi;"802676866754617344";https://twitter.com/wpstubs/status/802676866754617344
PHC_PiusFloris;2016-11-26 21:47;0;0;"@duurzaamtelen @ericmoerdijk @markversluis2 @FrankPKuijpers . Nog geen uitslagen. Bewaring afwachten. Wel tendens gezien veelminder fusarium";;@duurzaamtelen @ericmoerdijk @markversluis2 @FrankPKuijpers;;"802614673652580352";https://twitter.com/PHC_PiusFloris/status/802614673652580352
JantinekeWUR;2016-11-26 19:54;1;1;"Wist u dat? Waterafstotende eigenschap van waslaag door Fusarium solani omzeild door afbraak celwanden met cutinases.";;;;"802586257041846272";https://twitter.com/JantinekeWUR/status/802586257041846272
WoofOnTheHoof;2016-11-26 18:55;0;0;"Banana Fusarium Wilt Disease. Interview with Professo... http:// vid.staged.com/0azt #recipes #foodie #foodporn #cooking pic.twitter.com/hBHBLEmQre";;;#recipes #foodie #foodporn #cooking;"802571411986518016";https://twitter.com/WoofOnTheHoof/status/802571411986518016
CancerPapers;2016-11-26 12:32;0;0;"Growth inhibitory and proapoptotic effects of L-asparaginase from Fusarium culmorum ASP-87 on human… http:// dlvr.it/MlPqWT #leukemia pic.twitter.com/2LtYlb43Fs";;;#leukemia;"802475065996517376";https://twitter.com/CancerPapers/status/802475065996517376
gardenknowhow;2016-11-26 11:00;1;1;"Featured #gardening article: Fusarium Canker In Walnuts – Learn About Treating Fusarium Canker Disease http://www. gardeningknowhow.com/edible/nut-tre es/walnut/fusarium-canker-in-walnuts.htm?utm_campaign=twitter&utm_medium=twitter&utm_source=twitter …";;;#gardening;"802451987392561152";https://twitter.com/gardenknowhow/status/802451987392561152
FrankPKuijpers;2016-11-26 08:47;0;0;"@MarkBrantjes Mycorrhiza helpt tegen fusarium . Maar je moet wel de goede hebben er zijn 1000 soorten. Er wordt veel snakeoil verkocht";;@MarkBrantjes;;"802418387423002624";https://twitter.com/FrankPKuijpers/status/802418387423002624
MarkBrantjes;2016-11-26 08:40;0;0;"@FrankPKuijpers Dus geen gips strooien voor de uienteelt? Of doodt zwavel ook schadelijke schimmels, zoals fusarium ?";;@FrankPKuijpers;;"802416622149468160";https://twitter.com/MarkBrantjes/status/802416622149468160
gardenknowhow;2016-11-26 05:00;0;4;"Latest #gardening article: Fusarium Canker In Walnuts – Learn About Treating Fusarium Canker Disease http://www. gardeningknowhow.com/edible/nut-tre es/walnut/fusarium-canker-in-walnuts.htm?utm_campaign=twitter&utm_medium=twitter&utm_source=twitter …";;;#gardening;"802361390598094848";https://twitter.com/gardenknowhow/status/802361390598094848
SKAgriculture;2016-11-25 23:43;7;1;"Don’t miss the Fusarium Information Session Nov. 29 at the Days Inn, Swift Current. 1 – 4:30 p.m. Call 306-778-8285 to register.";;;;"802281691939270657";https://twitter.com/SKAgriculture/status/802281691939270657
SingleGardeners;2016-11-25 23:25;0;1;"Fusarium Canker In Walnuts – Learn About Treating Fusarium Canker Disease http:// ow.ly/JQ4j100qpft #gardens #gardening";;;#gardens #gardening;"802277053341036544";https://twitter.com/SingleGardeners/status/802277053341036544
gardenknowhow;2016-11-25 23:00;2;2;"New #gardening article: Fusarium Canker In Walnuts – Learn About Treating Fusarium Canker Disease http://www. gardeningknowhow.com/edible/nut-tre es/walnut/fusarium-canker-in-walnuts.htm?utm_campaign=twitter&utm_medium=twitter&utm_source=twitter …";;;#gardening;"802270791463305216";https://twitter.com/gardenknowhow/status/802270791463305216
adrienneivey;2016-11-25 22:27;4;2;"Well said @shaunhaney but I would add to your fusarium example that it would be like having to continue to top-dress fert everyday... https:// twitter.com/realagricultur e/status/802014955235115009 …";;@shaunhaney;;"802262499861008384";https://twitter.com/adrienneivey/status/802262499861008384
chasbt1;2016-11-25 22:25;1;0;"Spain: Three new lettuce varieties resistant to Fusarium http://www. freshplaza.com/article/167181 /Spain-Three-new-lettuce-varieties-resistant-to-Fusarium …";;;;"802261912566304768";https://twitter.com/chasbt1/status/802261912566304768
pammarrone;2016-11-25 20:27;0;0;"Three new lettuce varieties resistant to Fusarium http://www. hortidaily.com/article/30583/ Three-new-lettuce-varieties-resistant-to-Fusarium#.WDiQkWFSUx0.twitter …";;;#;"802232200007516160";https://twitter.com/pammarrone/status/802232200007516160
Ferchucky;2016-11-25 17:05;0;1;"Last picture of the night at @asbama_ #bananaforum 2016 with #bananamates . @UniWageningen present! #fusarium #panamadisease pic.twitter.com/PENrathZmF";;@asbama_ @UniWageningen;#bananaforum #bananamates #fusarium #panamadisease;"802181506865238017";https://twitter.com/Ferchucky/status/802181506865238017
EmphasisProject;2016-11-25 15:42;4;1;"First Report of Fusarium oxysporum f. sp. radicis-cucumerinum Causing Wilt on Cucumber in Italy http:// buff.ly/2gGgJJm via @plantdisease";;@plantdisease;;"802160412846333952";https://twitter.com/EmphasisProject/status/802160412846333952
StopPlamV;2016-11-25 15:27;0;0;"#Zuurbestrijding ( #Fusarium ) bij het spoelen en het verwerken in de #bloembollenteelt . pic.twitter.com/Ra9LroVZAT";;;#Zuurbestrijding #Fusarium #bloembollenteelt;"802156639944052736";https://twitter.com/StopPlamV/status/802156639944052736
foodevolutionph;2016-11-25 13:47;0;0;"Fusarium wilt endangers int'l standing of PH Cavendish bananas http:// foodevolution.com.ph/2016/11/fusari um-wilt-endangers-intl-standing-of-ph-cavendish-bananas/ …";;;;"802131514502746115";https://twitter.com/foodevolutionph/status/802131514502746115
WackoJacko1974;2016-11-25 11:13;0;1;"@CentenaryHGK put a liquid on a couple of days ago to give it an immediate kick as we've had a horrific case of fusarium as well so this....";;@CentenaryHGK;;"802092913475907584";https://twitter.com/WackoJacko1974/status/802092913475907584
Agrobase_Lgram;2016-11-25 11:05;0;0;"Belgium approves the use of CELEST (25 g/l Fludioxonil) against Phoma, Botrytis, Fusarium and Alternaria on linseed 10/12/16-09/04/17";;;;"802090873345507332";https://twitter.com/Agrobase_Lgram/status/802090873345507332
VRural;2016-11-25 09:30;0;0;"@Bayer presenta nuevas variedades de #lechuga resistentes a #Fusarium http://www. agronegocios.es/bayer-asegura- la-produccion-verano-nuevas-variedades-lechuga-resistentes-fusarium/ … pic.twitter.com/eN22xRPJEe";;@Bayer;#lechuga #Fusarium;"802066974771675136";https://twitter.com/VRural/status/802066974771675136
StoreyCreekTurf;2016-11-25 04:10;0;1;"@PenderSuper Looked over ntep trial done in Puyallup & SR7200 Velvet was I believe the 2nd highest for fusarium resistance at 7.8";;@PenderSuper;;"801986362173833216";https://twitter.com/StoreyCreekTurf/status/801986362173833216
StoreyCreekTurf;2016-11-25 03:55;0;0;"@PenderSuper Considering an overseeding trial on our 3 weakest greens with more fusarium tolerant bentgrass.Velvet? Pure Distinction? Ideas?";;@PenderSuper;;"801982674843758592";https://twitter.com/StoreyCreekTurf/status/801982674843758592
2020SeedLabs;2016-11-24 23:50;0;1;"Missed our email update on Fusarium ? click here…. http:// eepurl.com/cpIlez Join our mailing list http:// eepurl.com/KtuYH #fusarium #seeds";;;#fusarium #seeds;"801920946009477120";https://twitter.com/2020SeedLabs/status/801920946009477120
peteash04;2016-11-24 21:54;0;2;"@PhilSmidger @MyBrokenArt do they cure fusarium ?";;@PhilSmidger @MyBrokenArt;;"801891859018747905";https://twitter.com/peteash04/status/801891859018747905
HereBeSpiders11;2016-11-24 19:21;0;2;"@HereBeSpiders11 hey @kasson_wvu , I just realized I'm eating #Fusarium for dinner! AWESOME!!!!! pic.twitter.com/0pvcKXMggf";;@HereBeSpiders11 @kasson_wvu;#Fusarium;"801853279424643072";https://twitter.com/HereBeSpiders11/status/801853279424643072
wpstubs;2016-11-24 18:26;0;0;"Someone created a Wikipedia article about " Fusarium acutatum". Help expand it! #Microbiology #Fungi http:// en.wikipedia.org/wiki/Fusarium_ acutatum?src=wpstubs&tour=firstedit …";;;#Microbiology #Fungi;"801839318625095685";https://twitter.com/wpstubs/status/801839318625095685
asbama_;2016-11-24 15:42;0;0;"El primer panel tratará acerca de: Zigatoka negra y prevención de marchitez por Fusarium RT-4. El reto de manejar enfermedades devastadoras.";;;;"801798027677749248";https://twitter.com/asbama_/status/801798027677749248
FoodPrepping;2016-11-24 14:47;0;0;"Spain: Three new lettuce varieties resistant to Fusarium http://www. freshplaza.com/article/167181 /Spain-Three-new-lettuce-varieties-resistant-to-Fusarium …";;;;"801784349431623680";https://twitter.com/FoodPrepping/status/801784349431623680
Ferchucky;2016-11-24 14:36;0;0;"Everything is ready for the #BananaForum #Colombia 2016. @UniWageningen present. #banana #fusarium #panamadisease pic.twitter.com/C9aoB064CV";;@UniWageningen;#BananaForum #Colombia #banana #fusarium #panamadisease;"801781612664983552";https://twitter.com/Ferchucky/status/801781612664983552
GAMV65;2016-11-24 13:46;0;1;"#MaldePanama es una enfermedad, no una plaga. Su causa es el #Hongo #Fusarium oxisporum f.sp. cubense, no un virus http:// panamadisease.org https:// twitter.com/aleshammah/sta tus/801740162497740800 …";;;#MaldePanama #Hongo #Fusarium;"801769035432165377";https://twitter.com/GAMV65/status/801769035432165377
agrnegocios;2016-11-24 13:18;2;1;"Bayer asegura la producción de verano con nuevas variedades de lechuga resistentes a Fusarium http://www. agronegocios.es/bayer-asegura- la-produccion-verano-nuevas-variedades-lechuga-resistentes-fusarium/ …";;;;"801761894994481152";https://twitter.com/agrnegocios/status/801761894994481152
CancerPapers;2016-11-24 12:13;0;1;"Benzoquinone from Fusarium pigment inhibits the proliferation of estrogen receptor-positive MCF-7… http:// dlvr.it/Mkgkwp #breastcancer";;;#breastcancer;"801745502295310337";https://twitter.com/CancerPapers/status/801745502295310337
RevistaMercados;2016-11-24 12:00;1;0;". @BayerEspana asegura la #produccion de #verano2017 con nuevas #lechugas resistentes a #Fusarium http://www. revistamercados.com/noticia/bayer- asegura-la-produccion-verano-nuevas-lechugas-resistentes-fusarium/ … pic.twitter.com/qMWzmV6fT1";;@BayerEspana;#produccion #verano2017 #lechugas #Fusarium;"801742168717000705";https://twitter.com/RevistaMercados/status/801742168717000705
wpstubs;2016-11-24 11:25;0;0;"Someone created a Wikipedia article about " Fusarium acremoniopsis". Help expand it! #Microbiology #Fungi http:// en.wikipedia.org/wiki/Fusarium_ acremoniopsis?src=wpstubs&tour=firstedit …";;;#Microbiology #Fungi;"801733538148130816";https://twitter.com/wpstubs/status/801733538148130816
Horticom;2016-11-24 11:03;0;0;"Bayer asegura la producción de verano con nuevas variedades de lechuga resistentes a Fusarium http:// ow.ly/k43s506Qw5z";;;;"801727841423466496";https://twitter.com/Horticom/status/801727841423466496
pedro_becares_;2016-11-24 09:10;0;1;"RT @SanidadForestal : Síntomas de #fusarium en pinos con escolítidos asociados #tomicus #blastophagus pic.twitter.com/LhsHR8MpCm";;@SanidadForestal;#fusarium #tomicus #blastophagus;"801699434778296321";https://twitter.com/pedro_becares_/status/801699434778296321
FreshPlaza_es;2016-11-24 09:00;1;1;"Tres nuevas variedades de lechuga resistentes al " Fusarium " http://www. freshplaza.es/article/102230 /Tres-nuevas-variedades-de-lechuga-resistentes-al-Fusarium … pic.twitter.com/7nMpTzZuNp";;;;"801696860264013824";https://twitter.com/FreshPlaza_es/status/801696860264013824
KoppertKenya;2016-11-24 07:49;2;2;"Protect #tomatoes from #TutaAbsoluta , fusarium wilt & nematodes using #IPM and #biocontrol . http:// bit.ly/27cLbws pic.twitter.com/XL98YA7YKT";;;#tomatoes #TutaAbsoluta #IPM #biocontrol;"801679023508230144";https://twitter.com/KoppertKenya/status/801679023508230144
Just_Shiv;2016-11-24 06:53;0;0;"Ms. Fei: RNAi spray for crop protection #ISTTH2016 #dsDNA #fusarium #savethebanana #uniofQLD #plantsci pic.twitter.com/L9Njomv7yY";;;#ISTTH2016 #dsDNA #fusarium #savethebanana #uniofQLD #plantsci;"801665124264050688";https://twitter.com/Just_Shiv/status/801665124264050688
CigiWinnipeg;2016-11-24 03:54;1;2;"Singapore New Crop Seminar. @Grain_Canada takes the stage to talk grading, mildew and fusarium . @Cereals_Canada . #CDNWHEAT16 pic.twitter.com/xiJpY7qMcf";;@Grain_Canada @Cereals_Canada;#CDNWHEAT16;"801619973630140417";https://twitter.com/CigiWinnipeg/status/801619973630140417
Anicaona;2016-11-23 23:01;1;3;"Detectando #Fusarium con @Ferchucky desde Wageningen para Colombia pic.twitter.com/KZ9aK4Nxd2";;@Ferchucky;#Fusarium;"801546170413830154";https://twitter.com/Anicaona/status/801546170413830154
chrisn3901;2016-11-23 20:20;0;0;"My Sugar Snap Peas Are Getting Lower Yellow Leaves! Gonna Cut Back On Watering! Could Be Root Rot, Fusarium Wilt, Etc. Die Fungus Die Please";;;;"801505784718725120";https://twitter.com/chrisn3901/status/801505784718725120
Hortoinfo2;2016-11-23 20:18;0;0;"Nuevas variedades de lechuga para verano, con resistencia a Fusarium http://www. hortoinfo.es/index.php/noti cia/7506-lech-bayer-231116 … pic.twitter.com/bKdOfes885";;;;"801505296300576768";https://twitter.com/Hortoinfo2/status/801505296300576768
rnomics;2016-11-23 20:06;0;1;"The Mechanisms of Maize Resistance to Fusarium verticillioides by Comprehensive Analysis of RNA-seq Data. - PubMed - NCBI …";;;;"801502076639526912";https://twitter.com/rnomics/status/801502076639526912
iagronomia;2016-11-23 19:19;0;0;"Bayer asegura la producción de verano con nuevas variedades de lechuga resistentes a Fusarium http:// dlvr.it/MkQCLZ";;;;"801490262971203584";https://twitter.com/iagronomia/status/801490262971203584
